Map_Name,Scale,Area_Type,Litho_FMLY,Gross_Lith,Family_DV,Family_SDV,Geo_Name,Unit_Name,Unit_SYM,Main_Litho,Litho_SYM,Subordinat,Litho_Comp,Environmnt,Met_Facies,EON,ERA,Period,Age_Ma,Age_Basis,SCGR_Name,Formation,Group_Suit,Bed,Strat_SYM,Diagenesis,Genesis,Structure,Struct_Set,Tectonic,Terrane,Sub_Terane,Publisher,Pub_Date,Report_No,GRP_Label,FORM_Label,SYM_0250K,Labl_0250K,Symbol,Label,Shape_Leng,Shape_Area
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,13452.2911416,1552594.81412
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Gumayqah complex,Gumayqah complex,Tgg,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",Tgg,Undefined,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Gumayqah complex,,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",Tgg,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,1197.9689103,74714.8582918
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,22492.7152658,2534559.62937
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Phanerozoic,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,1288.11964672,76507.5401829
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,1200.33976481,80400.2790895
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Phanerozoic,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,4986.63466281,472355.995056
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Phanerozoic,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,2817.2220007,228614.917301
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,12271.0655354,1141994.19311
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,113010.398783,13198956.1149
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,20668.3768122,2126896.38979
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,5248.46119573,511368.711001
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,2457.27907992,183814.856207
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,7605.26707887,759427.952936
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,6796.62813678,930493.056057
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,4111.63768568,408458.156508
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,3163.45300205,273731.30692
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,28011.1496208,3466940.30158
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,14752.565813,1595948.12761
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,6630.16097654,383698.089719
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,7668.22247939,776960.234751
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,16435.9767845,1382663.14968
